Ticker,Company,Total GHG,NAICS
AA,ALCOA INC,9665558.4,331312.0
ABT,ABBOTT LABORTORIES,271109.0,325412.0
ADM,ARCHER DANIELS MIDLAND CO.,11145390.0,311222.0
AEE,AMEREN,58893386.0,221210.0
AEP,AMERICAN ELECTRIC POWER,112654854.5,221112.0
AES,AES CORPORATION,19935187.0,551112.0
AGU,AGRIUM U.S. INC,1198583.0,325311.0
AKS,AK STEEL CORPORATION,7723313.0,331111.0
AL,ALLIANT ENERGY CORPORATION,25816802.6,
ALB,ALBEMARLE CORPORATION,272861.0,325998.0
ALE,ALLETE,9559457.0,221121.0
ALEX,"ALEXANDER & BALDWIN, INC.",144968.0,483113.0
ALJ,ALON USA,698784.0,324110.0
AMGN,AMGEN INC,53803.0,325412.0
AMGP,"AMERICAN MIDSTREAM GP, LLC",747.16,
ANDE,"THE ANDERSONS, INC.",88463.0,424510.0
APA,APACHE CORPORATION,21316.5,211111.0
APC,ANADARKO PETROLEUM CORPORATION,1456476.24,211111.0
APD,"AIR PRODUCTS AND CHEMICALS, INC.",9905448.0,325120.0
APL,"ATLAS PIPELINE PARTNERS, L.P.",195185.0,486210.0
ARK,ARKEMA INC.,87842.0,525990.0
ASH,ASHLAND INC.,219844.0,453998.0
ASR,"AMERICAN SUGAR REFINING, INC.",332134.0,488119.0
ATI,ALLEGHENY TECHNOLOGIES INCORPORATED,440505.0,331111.0
ATO,ATMOS ENERGY CORPORATION,35045.0,221210.0
AVA,AVISTA CORPORATION,6268.0,221122.0
AWC,ALUMINA LTD,303399.60000000003,331311.0
AWI,"ARMSTRONG WORLD INDUSTRIES, INC.",220161.0,326192.0
BA,THE BOEING COMPANY,126708.0,336411.0
BAK,"BRASKEM AMERICA, INC.",59666.0,
BAS,BASIC AMERICAN FOODS,84525.0,213112.0
BASF,BASF CORPORATION,7618084.0,
BAYN,BAYER CORPORATION,562543.0,
BBG,BILL BARRETT CORPORATION,128821.0,211111.0
BC,BRUNSWICK CORPORATION,28253.0,333618.0
BCEI,"BONANZA CREEK ENERGY, INC.",24639.0,
BDC,BELDEN HOLDING & ACQUISITION COMPANY,56569.0,335921.0
BEP,BROOKFIELD RENEWABLE POWER,14144.0,
BF.B,BROWN-FORMAN CORPORATION,46217.0,
BG,"BUNGE NORTH AMERICA, INC.",263451.5,311222.0
BHE,BLACK HILLS ENERGY,585055.4,334412.0
BIIB,"BIOGEN IDEC, INC",35794.0,325414.0
BKH,BLACK HILLS CORPORATION,3162743.0,221121.0
BMY,BRISTOL-MYERS SQUIBB COMPANY,67160.0,325412.0
BP,BP AMERICA INC.,21162663.36,324110.0
BPI,BOISE INC.,237375.0,611310.0
BRK.B,"BERKSHIRE HATHAWAY, INC.",5045123.28,
BRY,BERRY PETROLEUM COMPANY,1059736.0,211111.0
BUD,ANHEUSER-BUSCH INBEV,1595307.0,
CAG,"CONAGRA FOODS, INC.",93254.0,311611.0
CARR,CARGILL,3499312.0,
CAT,CATERPILLAR INC,223331.0,333923.0
CBT,CABOT CORPORATION,1627644.0,325182.0
CCC,CALGON CARBON CORPORATION,36335.0,325120.0
CE,CELANESE CORPORATION,831421.0,325199.0
CENX,CENTURY ALUMINUM COMPANY,520387.0,331524.0
CF,"CF INDUSTRIES HOLDINGS, INC.",11777121.0,325311.0
CHK,"CHESAPEAKE MIDSTREAM PARTNERS, LP",551746.0,211111.0
CHS,"CHS, INC.",1038446.0,448120.0
CIF,"CHIEF INDUSTRIES, INC.",179171.0,525990.0
CKH,"SEACOR HOLDINGS, INC.",71421.5,483111.0
CLF,CLIFFS NATURAL RESOURCES,3186305.0700000003,212210.0
CLMT,CALUMET SPECIALTY PRODUCTS PARTNERS,32736.0,324110.0
CLW,CLEARWATER PAPER CORPORATION,431185.0,322110.0
CLX,CLECO CORPORATION,4077261.0,325612.0
CMC,COMMERCIAL METALS COMPANY,393834.0,331221.0
CMP,COMPASS MINERALS,51914.0,311942.0
CMS,CMS ENERGY,12041515.5,221119.0
CNP,CENTERPOINT ENERGY RESOURCES CORP,507942.0,221111.0
COP,CONOCOPHILLIPS,52467160.36,324110.0
CPB,CAMPBELL SOUP COMPANY,263689.0,311422.0
CPCH,"CHEVRON PHILLIPS CHEMICAL COMPANY, LLC",3005832.0,
CPN,CALPINE CORPORATION,74227510.0,221119.0
CRS,CARPENTER TECHNOLOGY CORPORATION,152937.0,331221.0
CTB,COOPER TIRE AND RUBBER CO,87045.0,326211.0
CVA,COVANTA ENERGY CORPORATION,7200604.8,562212.0
CVI,CVR ENERGY,1234378.0,324110.0
CVX,CHEVRON CORPORATION,24779061.44,324110.0
CWST,"CASELLA WASTE SYSTEMS, INC.",641787.0,562219.0
CX,"CEMEX, INC",11698460.08,327320.0
CY,CYPRESS SEMICONDUCTOR CORPORATION,3094.0,334413.0
CZR,CAESARS ENTERTAINMENT CORPORATION,73253.0,
D,DOMINION RESOURCES INC,52091780.0,221112.0
DAL,"DELTA AIR LINES, INC.",52304.0,481111.0
DCP,"DCP MIDSTREAM PARTNERS, LP",404389.2,
DD,E. I DUPONT DE NEMOURS AND COMPANY,9466741.0,325211.0
DE,DEERE & COMPANY,135294.0,333111.0
DGE,DIRECT ENERGY LP,1652215.0,
DIS,THE WALT DISNEY COMPANY,288704.79,713110.0
DKH,DELEK US HOLDINGS,455729.0,
DOW,THE DOW CHEMICAL COMPANY,15119566.5,325211.0
DPL,THE DAYTON POWER & LIGHT COMPANY,18688025.79,221111.0
DTE,DTE ENERGY,32089982.0,221119.0
DUK,DUKE ENERGY CORPORATION,53133731.77,221119.0
DVN,DEVON ENERGY,908587.0,211111.0
DYN,"DYNEGY, INC.",28156001.0,221119.0
ED,"CONSOLIDATED EDISON, INC.",3236885.0,221210.0
EDE,THE EMPIRE DISTRICT ELECTRIC COMPANY,3424597.84,221119.0
EE,EL PASO ELECTRIC COMPANY,1711544.0,221119.0
EEP,"ENBRIDGE ENERGY PARTNERS, L.P.",712541.0,486210.0
EIX,EDISON INTERNATIONAL,88105792.0,221119.0
ELM,ELEMENTIS PLC,197300.0,
EMN,EASTMAN CHEMICAL COMPANY,13426412.0,325211.0
ENB,"ENBRIDGE US, INC",26265.0,486210.0
EOG,"EOG RESOURCES, INC.",271.0,211111.0
EPB,"EL PASO MIDSTREAM INVESTMENT COMPANY, LLC",25138.0,486210.0
EPD,"ENERGY PARTNERS OF DELAWARE, LTD.",1062535.0,211111.0
EPN,"EAST PENN MANUFACTURING CO., INC.",99765.0,
ETP,ENERGY TRANSFER PARTNERS LP,894160.0,221210.0
ETR,ENTERGY,50431006.1,221111.0
EXC,EXELON CORP,5978882.0,221113.0
EXP,"EAGLE MATERIALS, INC.",1628930.0,327310.0
EXTN,"EXTERRAN HOLDINGS, INC.",124272.0,
F,FORD MOTOR COMPANY,735276.0,336111.0
FCX,FREEPORT-MCMORAN COPPER & GOLD,444292.39,212221.0
FMC,FMC CORPORATION,3296048.0,333132.0
FME,FRESENIUS MEDICAL CARE NORTH AMERICA,48642.0,
FPL,FLORIDA POWER AND LIGHT COMPANY,31593477.0,
GAS,"NICOR, INC",25551.0,221210.0
GE,GENERAL ELECTRIC COMPANY,3422679.0,333611.0
GEF,"GREIF, INC",63415.0,
GEVO,GEVO,39679.0,
GIS,GENERAL MILLS,55625.0,311230.0
GL,"GLANBIA FOODS, INC.",35910.0,
GLO,CONTOUR GLOBAL,22609.0,525990.0
GLW,CORNING INCORPORATED,647533.0,335921.0
GM,GENERAL MOTORS LLC,878524.0,
GOLD,BARRICK GOLD CORPORATION,255535.0,212221.0
GPK,GRAPHIC PACKAGING HOLDING COMPANY,819172.0,322130.0
GPN,GREEN PLAINS,1021721.0,713990.0
GPOR,GULFPORT ENERGY CORP,35254.0,211111.0
GR,GOODRICH CORPORATION,25033.0,336414.0
GRA,W.R. GRACE& CO.-CONN.,242179.0,339112.0
GSK,GLAXOSMITHKLINE,29563.0,325412.0
GT,THE GOODYEAR TIRE & RUBBER COMPANY,735499.0,326211.0
GTF,GRAFTECH INTERNATIONAL LTD,51378.0,541711.0
GXP,"GREAT PLAINS ENERGY, INC.",11141662.0,221119.0
HAL,HALLIBURTON,79212.0,213112.0
HAYN,"HAYNES INTERNATIONAL, INC.",55875.0,331112.0
HE,"HAWAIIAN ELECTRIC COMPANY, INC.",3614261.0,221121.0
HES,HESS CORPORATION,530887.12,211111.0
HFC,HOLLYFRONTIER CORPORATION,2469943.0,
HII,"HUNTINGTON INGALLS INDUSTRIES, INC.",78582.0,
HON,HONEYWELL INTERNATIONAL,5231832.0,336412.0
HRL,HORMEL FOODS CORPORATION,71153.0,311611.0
HSC,HARSCO,3910.0,332313.0
HXL,HEXCEL CORPORATION,55876.0,334220.0
IBM,IBM CORPORATION,102926.0,334111.0
IDA,IDACORP,1475557.5,221111.0
INTC,INTEL CORPORATION,133000.0,334413.0
IP,INTERNATIONAL PAPER,6042024.0,322121.0
IPI,"INTREPID POTASH, INC.",81007.0,325188.0
ITW,ILLINOIS TOOL WORKS,26522.0,333993.0
JOY,JOY GLOBAL,14266.0,
K,KELLOGG COMPANY,128889.0,311230.0
KMB,KIMBERLY-CLARK CORPORATION - WORLD HEADQUARTERS,1305296.0,322291.0
KMG,"KMG CHEMICALS, INC.",1430.0,
KMI,KINDER MORGAN,113180.69,
KMP,"KINDER MORGAN ENERGY PARTNERS, L.P.",163136.0,486210.0
KODK,EASTMAN KODAK COMPANY,1072279.0,
KS,KAPSTONE PAPER AND PACKAGING CORPORATION,318168.0,
L,LOEWS CORPORATION,1134121.0,312221.0
LECO,"LINCOLN ELECTRIC HOLDINGS, INC.",28977.0,332311.0
LEG,"LEGGETT & PLATT, INC.",97181.0,337910.0
LLY,ELI LILLY AND COMPANY,157261.0,325412.0
LMT,LOCKHEED MARTIN CORPORATION,76558.0,336415.0
LNG,CHENIERE ENERGY INC,67457.0,211112.0
LSB,LSB INDUSTRIES,1209960.0,
LYB,LYONDELLBASELL INDUSTRIES,7607450.35,
LZ,THE LUBRIZOL CORPORATION,165372.0,325110.0
MDU,"MDU RESOURCES GROUP, INC.",2886695.15,221210.0
MGE,MADISON GAS AND ELECTRIC CO.,311639.8,
MGM,MGM RESORTS INTERNATIONAL,129747.0,721120.0
MGPI,"MGP INGREDIENTS, INC.",71421.5,312140.0
MHK,"MOHAWK INDUSTRIES, INC",175001.0,314110.0
MIC,"MACQUARIE INFRASTRUCTURE COMPANY, LLC",22816.0,525920.0
MJN,"MEAD JOHNSON & COMPANY, LLC.",15052.0,325412.0
MLM,MARTIN MARIETTA MATERIALS,1203827.0,333120.0
MMLP,MARTIN MIDSTREAM PARTNERS L.P.,29918.5,488330.0
MMM,3M COMPANY,960380.0,339112.0
MNK,MALLINCKRODT INC,47716.0,
MO,"ALTRIA GROUP, INC.",183880.0,312229.0
MON,MONSANTO COMPANY,487137.0,325320.0
MOS,THE MOSAIC COMPANY,1631834.0,325312.0
MPC,MARATHON PETROLEUM COMPANY LP,9237981.0,
MRK,"MERCK & CO., INC.",469052.0,325412.0
MRO,MARATHON,192226.8,211112.0
MSLT,"MORTON SALT, INC.",418901.0,
MTX,"MINERALS TECHNOLOGIES, INC.",170290.0,211112.0
MU,"MICRON TECHNOLOGY, INC.",33715.0,334413.0
MUR,MURPHY OIL CORPORATION,1499196.0,324110.0
MWA,"MUELLER WATER PRODUCTS, INC.",149551.0,332911.0
MWE,"MARKWEST ENERGY PARTNERS, L.P.",857676.0,211111.0
NAV,"NAVISTAR, INC",27876.0,336211.0
NEE,NEXTERA ENERGY RESOURCES,7406413.0,
NEM,NEWMONT USA LIMITED,1412708.0,212221.0
NFG,NATIONAL FUEL GAS COMPANY,236699.0,221210.0
NI,NORTHERN INDIANA PUBLIC SERVICE COMPANY,16116942.0,221119.0
NNG,NORTHERN NATURAL GAS COMPANY,266429.0,
NOV,"NATIONAL OILWELL VARCO, LP",19683.0,333132.0
NP,NEENAH ENTERPRISES INCORPORATED,202570.0,322121.0
NRG,"NRG ENERGY, INC",26648902.0,221119.0
NS,"NUSTAR ENERGY, L.P.",219529.0,486110.0
NSC,NORFOLK SOUTHERN CORPORATION,53297.0,482111.0
NUE,NUCOR CORPORATION,7044186.42,331221.0
NVE,NV ENERGY,29284626.3,221121.0
NVL,NOVELIS CORPORATION,473360.8,
NVS,NOVARTIS PHARMACEUTICALS CORPORATION,29552.0,325412.0
NWE,NORTHWESTERN ENERGY,920116.25,221119.0
NX,QUANEX BUILDING PRODUCTS,71724.0,331111.0
,"MODERN LANDFILL, INC.",90509.0,
ODC,OIL-DRI CORPORATION OF AMERICA,14192.0,339113.0
OGE,OGE ENERGY CORPORATION,19317614.21,221119.0
OI,"OWENS-ILLINOIS, INC.",1174076.0,327213.0
OKS,"ONEOK PARTNERS, L.P.",1020561.9,486210.0
OLN,OLIN CORPORATION,27173.0,325181.0
OTTR,OTTER TAIL CORPORATION,2248635.95,221121.0
OXY,OCCIDENTAL PETROLEUM CORPORATION,12125054.81,211111.0
PAA,PLAINS ALL AMERICAN GP LLC,80773.0,486990.0
PBF,PBF ENERGY,1650759.0,
PCG,PACIFIC GAS AND ELECTRIC COMPANY,1881517.0,221111.0
PEG,PUBLIC SERVICE ENTERPRISE GROUP,15240733.0,221210.0
PEN,PENFORD CORP,123991.0,
PEP,"PEPSICO, INC.",394682.0,312111.0
PFE,"PFIZER, INC.",465836.0,325412.0
PG,PROCTER & GAMBLE,1321404.0,325611.0
PKG,PACKAGING CORPORATION OF AMERICA,907003.0,322211.0
PNW,PINNACLE WEST CAPITAL CORPORATION,12257270.29,221119.0
POL,POLYONE CORPORATION,67396.0,325211.0
POM,PEPCO HOLDINGS INCORPORATED,219213.0,221111.0
POR,PORTLAND GENERAL ELECTRIC COMPANY,4932338.3,221119.0
PPG,"PPG INDUSTRIES, INC.",11348978.25,325510.0
PPL,PPL CORPORATION,1059084.0,221119.0
PSE,PUGET SOUND ENERGY,1460706.0,211111.0
PSEC,PROSPECT CAPITAL CORPORATION,61046.0,525990.0
PX,"PRAXAIR, INC.",3825352.0,325120.0
PXD,"PIONEER NATURAL RESOURCES USA, INC.",371710.75,211111.0
QCOM,QUALCOMM INCORPORATED,26940.0,334220.0
QEP,QEP RESOURCES INC,265824.0,
QUAD,"QUAD/GRAPHICS, INC.",55794.0,
REX,REX AMERICAN RESOURCES,79316.64,
RGP,REGENCY ENERGY PARTNERS LP,265690.0,
RR,"ROLLS-ROYCE NORTH AMERICA HOLDINGS, INC.",33090.0,
RSG,"REPUBLIC SERVICES, INC.",15868594.61,562219.0
RSI,REC SILICON INC,163436.0,
RYN,"RAYONIER, INC",26331.0,531190.0
SCG,SCANA CORPORATION,14653301.0,221121.0
SCHN,"SCHNITZER STEEL INDUSTRIES, INC.",70575.0,423930.0
SCL,STEPAN COMPANY,35182.0,325611.0
SCS,STEELCASE INC,34870.0,337214.0
SD,"SANDRIDGE ENERGY, INC.",1822819.0,211111.0
SE,SPECTRA ENERGY CORP,2881197.5,221210.0
SEB,SEABOARD CORPORATION,36101.0,311611.0
SFD,SMITHFIELD FOODS,27076.0,311611.0
SJI,SOUTH JERSEY INDUSTRIES INC,41668.0,486210.0
SJM,J.M. SMUCKER COMPANY,31310.0,311421.0
SLCA,U.S. SILICA COMPANY,26985.0,
SO,SOUTHERN COMPANY,98652305.75,221111.0
SON,SONOCO PRODUCTS COMPANY,997582.0,322121.0
SPR,"SPIRIT AEROSYSTEMS HOLDINGS, INC.",91889.0,336413.0
SRE,SEMPRA ENERGY,1377740.0,221210.0
STLD,"STEEL DYNAMICS, INC.",3942251.0,331221.0
SUM,"SUMMIT MATERIALS, LLC",559242.13,
SUN,SUNOCO INC,6399699.0,324110.0
SUP,"SUPERIOR INDUSTRIES INTERNATIONAL, INC.",45098.0,336399.0
SWN,SOUTHWESTERN ENERGY COMPANY,832946.0,211111.0
SWR,SOUTHWIRE COMPANY,27721.0,
SXT,SENSIENT TECHNOLOGIES CORPORATION,38426.0,325120.0
SYT,SYNGENTA CORPORATION,49601.0,325311.0
THS,"TREEHOUSE FOODS, INC.",95956.0,311421.0
TKR,THE TIMKEN COMPANY,441120.0,332991.0
TRGP,TARGA RESOURCES CORPORATION,658495.0,
TRP,TRANSCANADA CORPORATION,1930426.0,486210.0
TSN,"TYSON FOODS, INC",981230.0,311615.0
TSO,TESORO CORPORATION,6200678.0,324110.0
TTI,"TETRA TECHNOLOGIES, INC.",51237.0,325998.0
TWI,TITAN INTERNATIONAL,53718.0,336330.0
TXN,"TEXAS INDUSTRIES, INC",4858597.0,334413.0
UAL,"UNITED CONTINENTAL HOLDINGS, INC",113755.0,
UFS,DOMTAR CORPORATION,1383648.0,322121.0
UGI,"UGI ENERGY SERVICES, INC.",176402.0,221210.0
UNS,UNISOURCE ENERGY CORPORATION,777389.0,221111.0
USAP,"UNIVERSAL STAINLESS & ALLOY PRODUCTS, INC.",39510.0,332312.0
USG,USG CORPORATION,869606.0,327420.0
UTX,UNITED TECHNOLOGIES CORPORATION,190112.0,336412.0
VALE,VALE SA,83826.0,212210.0
VIS,"VISKASE COMPANIES, INC",46112.0,525990.0
VLO,VALERO ENERGY CORPORATION,21651951.0,324110.0
VMC,VULCAN MATERIALS COMPANY,526383.0,212312.0
VRS,VERSO PAPER CORPORATION,588410.0,322121.0
VVC,VECTREN,4405962.0,221210.0
WCN,"WASTE CONNECTIONS, INC.",2558097.0,562920.0
WHR,WHIRLPOOL CORPORATION,109928.0,335224.0
WLK,WESTLAKE CHEMICAL CORPORATION,1647626.0,325193.0
WLL,WHITING PETROLEUM CORPORATION,45320.0,211111.0
WM,"WASTE MANAGEMENT, INC.",43595432.5,
WMB,"THE WILLIAMS COMPANIES, INC.",2895156.4,486210.0
WPP,WAUSAU PAPER CORPORATION,233842.0,322122.0
WPZ,WILLIAMS PARTNERS L.P.,3605452.4,486210.0
WR,"WESTAR ENERGY, INC.",19260759.16,221111.0
WY,WEYERHAEUSER COMPANY,558064.0,113310.0
X,UNITED STATES STEEL CORPORATION,69632004.65,331221.0
XEL,"XCEL ENERGY, INC.",36025439.0,221121.0
XOM,EXXONMOBIL CORP,42228500.0,324110.0
XRX,XEROX CORPORATION,38415.0,334119.0
XTO,"XTO ENERGY, INC.",757627.0,
