"","firm_name","ticker.ticker","ticker.name","permno","naics2","naics3","naics4","dValue_CAPM","dValue_10CI","dValue_15CI","lobby","outlier","US_revenue_share","carbon_intensity"
"1","ADVANCED MICRO DEVICES","AMD","ADVANCED MICRO DEVICES INC",61241,33,334,3344,16011982.420185,14782740.5752975,-240055.00898149,1200000,0,0.122663624584675,0.0799999982118607
"2","AES","AES","AES CORP",76712,55,551,5511,-691024872.217061,-691657851.61792,-720684333.61104,11250,0,0.158438697457314,NA
"3","AGL RESOURCES","GAS","AGL RESOURCES INC",15553,55,551,5511,50785837.282562,51740419.9137514,48795742.2789858,240000,0,1,NA
"4","AIR PROD & CHEM",NA,NA,28222,32,325,3251,252146065.195985,251323109.779394,218761140.146356,2415000,0,0.456593453884125,0.619000017642975
"5","AIRGAS","ARG","AIRGAS INC",70308,42,424,4246,29140084.2688537,28049240.5801787,21514281.5987082,310000,0,0.980149984359741,NA
"6","ALASKA AIRGROUP",NA,NA,28804,48,481,4811,55431638.8823652,55404060.5450096,54121225.2436864,140000,0,NA,1.21700000762939
"7","ALCOA","AA","ALCOA CORP",24643,33,331,3313,-66013151.1478929,-70792856.0490441,-118981907.490928,3240000,0,0.51012659072876,1.05400002002716
"8","ALLEGHENY ENERGY","AYE","ALLEGHENY ENERGY INC",10137,22,221,2211,-212910705.482239,-208494458.693007,-215892574.73049,580000,0,1,0
"9","ALLETE","ALE","ALLETE INC",24248,22,221,2211,9628748.61248433,9689395.12591701,8776091.43383969,45000,0,1,0
"10","ALLIANT ENERGY","LNT","ALLIANT ENERGY CORP",58819,22,221,2211,43886732.5454101,45727834.5931172,41766940.0506539,47912,0,1,0
"11","ALLIANT TECHSYSTEMS","","Alliant Techsystems Operations LLC",76477,33,332,3329,39105973.5306216,38688090.3129818,35043102.5491632,660000,0,NA,0.187999993562698
"12","ALON USA ENERGY","ALJ","ALON USA ENERGY INC",90779,32,324,3241,-40389311.10022,-40309964.1540917,-41346776.212101,170000,0,1,1.21000003814697
"13","ALPHA NATURAL RESOURCES","ANRZQ","ALPHA NATURAL RESOURCES INC",90547,21,212,2121,-215970815.835219,-212424499.975261,-228589464.365875,55000,0,1,0.897000014781952
"14","ALTRIA","MO","ALTRIA GROUP INC",13901,31,312,3122,1544677653.65552,1536817947.32111,1512053314.52164,2670000,0,1,0.0829999968409538
"15","AMEREN","AEE","AMEREN CORP",24985,22,221,2212,-188287902.429869,-184037817.179952,-189887355.009921,3090000,0,1,0
"16","AMERICAN ELECTRIC POWER","AEP","AMERICAN ELECTRIC POWER CO INC",24109,22,221,2211,-83274783.270377,-76030816.6421933,-90404843.0005642,14100663,0,NA,0
"17","AMERICAN SUPERCONDUCTOR","AMSC","AMERICAN SUPERCONDUCTOR CORP",77175,33,335,3353,85836569.3027915,83721548.2834954,78152335.8233299,340000,0,0.14608807861805,0.145999997854233
"18","ANADARKO PETROLEUM","APC","ANADARKO PETROLEUM CORP",70332,21,211,2111,-921355352.497046,-914241295.027012,-1010010937.94098,7083370,0,0.818590641021729,0.897000014781952
"19","APACHE","AMSI1","APACHE MEDICAL SYSTEMS INC",39490,21,211,2111,-2049032065.30927,-2033492231.07847,-2110007644.31394,7e+05,0,0.354322671890259,0.897000014781952
"20","APCO OIL & GAS INT","APAGF","APCO OIL & GAS INTERNATIONAL INC",78231,21,211,2111,-74839079.8177582,-74982793.3669492,-77486571.8125309,680000,0,NA,0.897000014781952
"21","APPLIED MATERIALS","AMAT","APPLIED MATERIALS INC",14702,33,333,3332,608309055.35845,596818963.922803,553578918.706169,2090000,0,NA,0.122000001370907
"22","ARCELORMITTAL","MT","ARCELORMITTAL",85261,33,331,3311,-4589461280.14869,-4575566822.55188,-4840770618.64732,1050000,0,0.157117486000061,1.05400002002716
"23","ARCH COAL","ACIIQ","ARCH COAL INC",75326,21,212,2121,238024257.431422,240390011.927146,227819757.55415,2450000,0,1,0.897000014781952
"24","AUTODESK","ADSK","AUTODESK INC",85631,51,511,5112,-89201517.5974847,-89069597.3446887,-101980775.848668,340000,0,0.293505907058716,0.0270000007003546
"25","BARCLAYS","BCS","BARCLAYS PLC",69761,52,522,5221,-120201548.862547,-124361867.83783,-130162296.057439,1740000,0,NA,0.0740000009536743
"26","BARRICK GOLD","GOLD","BARRICK GOLD CORP",71298,21,212,2122,-1014093637.87272,-991372352.134229,-1028597326.69415,689000,0,0.317472368478775,0.897000014781952
"27","BERKSHIRE HATHAWAY","BRK.B","BERKSHIRE HATHAWAY INC",17778,52,524,5241,288299631.735861,119095537.943816,64148787.0987661,12488019,0,NA,0.0740000009536743
"28","BEST BUY","BBY","BEST BUY CO INC",85914,44,443,4431,496618074.74063,486404803.201738,443198729.98451,1820000,0,0.764984607696533,NA
"29","BLACKSTONE","BX","BLACKSTONE INC",92108,52,523,5239,67577186.1092252,63746190.1754435,57601744.1545707,3150000,0,NA,0.0740000009536743
"30","BOEING","BA","BOEING CO",19561,33,336,3364,-434711304.673895,-487227655.404609,-588028083.698214,27736000,0,0.58583652973175,0.100000001490116
"31","BOSTON SCI","BSX","BOSTON SCIENTIFIC CORP",77605,33,339,3391,-176195000.199747,-176516063.323474,-194741173.578864,480000,0,0.565583109855652,0.0729999989271164
"32","BP","BP","BP PLC",29890,32,324,3241,2214692515.93321,2203041568.42096,2117744290.52064,11670000,0,0.346759736537933,1.21000003814697
"33","BRANDS","ACCO","ACCO BRANDS CORP",64282,44,448,4481,508475505.440195,507473060.762777,491517039.79481,290000,0,0.926828622817993,NA
"34","BROOKFIELD ASSET MANAGEMENT","BAM","BROOKFIELD ASSET MANAGEMENT LTD",85259,23,236,2361,-814816378.518075,-816787378.649297,-847278440.457564,450000,0,0.411732375621796,0.156000003218651
"35","BUNGE","BG","BUNGE GLOBAL SA",89138,31,311,3112,-528392221.993247,-530501798.092277,-549011581.846303,1440000,0,0.236658573150635,0.221000000834465
"36","CALPINE","CPN","CALPINE CORP",92530,22,221,2211,-836187028.466738,-839628452.508356,-854314743.482581,1520000,0,1,0
"37","CAMPBELL SOUP","CPB","CAMPBELL SOUP CO",25320,31,311,3114,761086184.817786,767701008.644164,757835627.271546,110000,0,0.719764232635498,0.221000000834465
"38","CANADIAN PACIFIC RAILWAY","CP","CANADIAN PACIFIC RAILWAY LTD/CN",89125,48,482,4821,419129680.535177,414379013.660626,393527384.142489,80000,0,0.159332156181335,1.21700000762939
"39","CATERPILLAR","CAT","CATERPILLAR INC",18542,33,333,3339,845470072.647135,841100166.849709,747819556.613287,3533250,0,0.323521256446838,0.122000001370907
"40","CEMEX DE",NA,NA,87204,32,327,3273,-640370933.799225,-646320307.436195,-670339324.162341,620000,0,NA,1.61300003528595
"41","CENTERPOINT ENERGY","CNP","CENTERPOINT ENERGY INC",21792,22,221,2211,-200230644.083765,-197628934.031109,-201896470.001907,1491101,0,NA,0
"42","CF IND HLDGS",NA,NA,90829,32,325,3253,250186563.414903,252052692.38777,245635088.827614,1630000,0,0.910755157470703,0.619000017642975
"43","CHESAPEAKE ENERGY","CHKAQ","CHESAPEAKE ENERGY CORP",78877,21,211,2111,-308371549.471565,-312219196.644309,-359401018.430688,1310000,0,1,0.897000014781952
"44","CHEVRON","CVX","CHEVRON CORP",14541,32,324,3241,8421328195.87974,8418341319.45346,8220472864.02702,1.8e+07,0,NA,1.21000003814697
"45","CITIGROUP","C","CITIGROUP INC",70519,52,522,5221,-13226463368.279,-13618199430.9085,-13813063989.0679,5360000,1,NA,0.0740000009536743
"46","CLIFFS NATURAL RESOURCES","CLF","CLIFFS NATURAL RESOURCES INC.",27422,21,212,2122,74613597.761388,73764443.3298765,45942222.2599107,50000,0,0.434047371149063,0.897000014781952
"47","CMS ENERGY","CMS","CMS ENERGY CORP",23229,22,221,2211,-33776077.6790895,-32076745.9275727,-35995938.2546415,2170000,0,1,0
"48","CON WAY","","Con-way Inc.",41929,48,484,4841,89031637.4065763,88784764.5425308,86161133.307466,460000,0,0.941772937774658,1.21700000762939
"49","CONAGRA","CAG","CONAGRA BRANDS INC",56274,31,311,3116,565941562.462224,568859003.282518,560396079.711851,560000,0,1,0.221000000834465
"50","CONOCOPHILLIPS","COC","CONOCOPHILLIPS HOLDING CO",13928,32,324,3241,-2691225546.19776,-2687401745.5748,-2809164562.72237,8818930,0,0.65475195646286,1.21000003814697
"51","CONSOL ENERGY","CEIX","CONSOL ENERGY INC",86799,21,212,2121,-863838224.183645,-859269217.834765,-897016518.330987,1840000,0,0.904010891914368,0.897000014781952
"52","CONSTELLATION ENERGY","CEG","CONSTELLATION ENERGY CORP",24221,22,221,2211,-420477950.331418,-417606507.001536,-428137897.200444,3120000,0,NA,0
"53","CONTINENTAL AIRLINES","CAL","CONTINENTAL AIRLINES, INC.",79641,48,481,4811,276539195.898602,274831764.385861,271058485.002917,285000,0,0.551485776901245,1.21700000762939
"54","COOPER IND","CBE","COOPER INDUSTRIES PLC",21979,33,335,3351,-174221489.992001,-177314743.578666,-194629296.880023,360000,0,0.667194128036499,0.145999997854233
"55","CORNING","GLW","CORNING INC",22293,33,335,3359,1485171383.03399,1481009093.23018,1419996080.70603,480000,0,0.244701907038689,0.145999997854233
"56","COVANTA HLDGS",NA,NA,76515,56,562,5622,-145446184.962833,-145360321.06089,-149660756.136143,1660000,0,0.948894143104553,0.0140000004321337
"57","CRAWFORD","CRAWA","CRAWFORD UNITED CORP",27618,52,524,5242,-4462098.17976832,-4607085.78101284,-4880224.84546255,407778,0,NA,0.0740000009536743
"58","CREDIT SUISSE","CS","CREDIT SUISSE GROUP AG",89154,52,522,5221,-141233833.24484,-144056881.161121,-153183793.466339,920000,0,NA,0.0740000009536743
"59","CSX","CSX","CSX CORP",62148,48,482,4821,1872089120.6626,1879755686.72182,1831748565.52812,7151905,0,NA,1.21700000762939
"60","CUMMINS","CMI","CUMMINS INC",41080,33,333,3336,183676141.323368,175738394.511584,139793638.509414,3130886,0,0.420112669467926,0.122000001370907
"61","CURTISS WRIGHT","CW","CURTISS WRIGHT CORP",18091,33,336,3363,52671212.3087064,52976563.6993949,49309719.1826152,250000,0,0.708638310432434,0.100000001490116
"62","DARLING INT",NA,NA,80928,31,311,3116,39642805.2317687,39460090.4666737,37889661.613587,80000,0,1,0.221000000834465
"63","DDR BANK",NA,NA,89199,52,523,5239,-3448501987.80209,-3455270146.02049,-3605096952.76309,580000,0,NA,0.0740000009536743
"64","DEAN FOODS","DF1","DEAN FOODS CO",83421,31,311,3115,216669731.405058,219537039.469379,217090566.982126,30000,0,0.976862370967865,0.221000000834465
"65","DEERE","DE","DEERE & CO",19350,33,333,3331,92760204.7074217,89916002.9836793,33105170.4204278,1600000,0,0.649133086204529,0.122000001370907
"66","DEL MONTE FOODS","DLM","DEL MONTE FOODS CO",86590,31,311,3114,-25573742.6850968,-25301030.2797992,-27567477.3508053,189000,0,0.941314935684204,0.221000000834465
"67","DELL PROD",NA,NA,11081,33,334,3341,1345605107.53099,1332962053.56096,1272093302.87035,2920000,0,0.523475766181946,0.0799999982118607
"68","DELTA AIR LINES","DAL","DELTA AIR LINES INC",91926,48,481,4811,610249819.020972,604852829.638802,590523770.677899,3277906,0,0.276754558086395,1.21700000762939
"69","DENBURY RESOURCES","DNRCQ","DENBURY RESOURCES INC",82196,21,211,2111,-102860718.988985,-103086977.745663,-119522163.599137,335878,0,1,0.897000014781952
"70","DEVON ENERGY","DVN","DEVON ENERGY CORP",87137,21,211,2111,-2632752935.38812,-2623954434.35402,-2694595660.13854,3120000,0,0.731043219566345,0.897000014781952
"71","DOMINION RESOURCES","GJP","STRATS TRUST FOR DOMINION RESOURCES, INC. SECURITIES, SERIES 2005-6",64936,22,221,2211,-48825745.9290657,-39976866.7302485,-59581173.9338376,2670000,0,1,0
"72","DOW CHEM","N/A","DOW CHEMICAL CO",20626,32,325,3252,-2212812026.06389,-2234727341.28587,-2351150876.17138,7740000,0,0.32059770822525,0.619000017642975
"73","DTE ENERGY","DTE","DTE ENERGY CO",11674,22,221,2211,-120408690.57162,-117425721.218087,-126443524.813245,1960000,0,1,0
"74","DU PONT EI DE NEMOURS",NA,NA,11703,32,325,3252,-391327251.670522,-395822159.374108,-470926773.488949,7244448,0,0.369675904512405,0.619000017642975
"75","DUKE ENERGY","DUK","DUKE ENERGY CORP",27959,22,221,2211,-512755224.744239,-502173805.686577,-521060483.944535,9590746,0,0.912339985370636,0
"76","EASTMAN CHEM","EMN","EASTMAN CHEMICAL CO",80080,32,325,3252,-99541567.4697049,-100467914.86467,-111332462.380259,540000,0,0.510939955711365,0.619000017642975
"77","EASTMAN KODAK","EKDKQ","EASTMAN KODAK CO",11754,32,325,3259,-148102133.343729,-151504930.34177,-157492060.194223,1395300,0,0.418614387512207,0.619000017642975
"78","EATON","ETN","EATON CORP PLC",11762,33,336,3363,532182653.301175,533269940.334932,507956115.070102,620004,0,0.494741410017014,0.100000001490116
"79","EBAY","EBAY","EBAY INC",86356,45,454,4541,32703677.1216035,23886461.6882524,-37818011.9034222,2664950,0,0.458436071872711,NA
"80","EDISON INT","EIX","EDISON INTERNATIONAL",15720,22,221,2211,202315899.351628,208452047.364457,194694609.173495,3254000,0,0.999190986156464,0
"81","EL PASO","EE1","EL PASO ELECTRIC CO",77481,21,211,2111,-1222876494.06904,-1219254771.20083,-1244574762.47271,1524780,0,0.958678305149078,0.897000014781952
"82","EMC","EMC1","EMC CORP",10147,33,334,3341,-968645533.330683,-970797116.490382,-1044016867.86219,2040000,0,0.532185912132263,0.0799999982118607
"83","EMERSON ELECTRIC","EMR","EMERSON ELECTRIC CO",22103,33,335,3359,1725316327.24858,1723951725.53586,1645440516.95819,1980284,0,0.434968739748001,0.145999997854233
"84","ENERGEN","EGN","ENERGEN CORP",26470,22,221,2212,113684632.091358,116515033.299463,109915786.451181,110000,0,1,0
"85","ENERGY","ACFN","ACORN ENERGY INC",38658,22,221,2211,82974444.7781445,84272911.8836916,81865790.2582505,230000,0,1,0
"86","ENTERGY","ETR","ENTERGY CORP",24010,22,221,2211,450800563.246253,460678431.700871,444213420.086236,5690000,0,1,0
"87","EXELON","EXC","EXELON CORP",21776,22,221,2211,-799714965.444487,-773641832.796179,-820654648.258158,5861797,0,1,0
"88","EXXON MOBIL","XOM","EXXON MOBIL CORP",11850,32,324,3241,11489660956.3873,11467574137.5807,10960861849.2169,23820000,1,0.420650124549866,1.21000003814697
"89","FEDEX","FDX","FEDEX CORP",60628,49,492,4921,-463925757.105715,-463589243.677127,-520556199.330548,35842074,0,0.721426129341125,1.21700000762939
"90","FIRST SOLAR","FSLR","FIRST SOLAR INC",91611,33,334,3344,1305880352.34677,1298104707.76022,1276802213.71862,410000,0,0.0982536002993584,0.0799999982118607
"91","FIRSTENERGY","FE","FIRSTENERGY CORP",23026,22,221,2211,-195888335.049842,-180846710.241878,-198405542.945829,2425000,0,1,0
"92","FMC","FMC","FMC CORP",19166,33,333,3331,103904586.635511,104322563.858044,97656310.1353358,1827000,0,NA,0.122000001370907
"93","FORD MOTOR DEL",NA,NA,25785,33,336,3361,-98820322.8276339,-140704336.828977,-227158994.771649,9100000,0,0.47574120759964,0.100000001490116
"94","FOSTER WHEELER","AMFW","AMEC FOSTER WHEELER PLC",18112,55,551,5511,25389511.7243958,23606476.5345294,11431020.5853045,80000,0,0.177474781870842,NA
"95","FPL","","FPL GROUP CAPITAL TRUST I",24205,22,221,2211,139392520.477791,150745736.167039,125336742.154939,2620000,0,0.995000004768372,0
"96","FRONTIER OIL","FTO","FRONTIER OIL CORP",56063,32,324,3241,-117440152.387645,-118200006.374731,-122152948.758877,280000,0,1,1.21000003814697
"97","FUELCELL ENERGY","FCEL","FUELCELL ENERGY INC",77699,33,335,3359,-52383509.8952053,-52690635.052517,-54306386.8144987,240000,0,0.379093676805496,0.145999997854233
"98","GEN ELECTRIC",NA,NA,12060,33,333,3336,2169528909.66266,1882263910.01622,1472367090.468,53700000,0,0.479162931442261,0.122000001370907
"99","GENCORP","AJRD","GENCORP INC",20765,32,326,3262,19779437.3560801,19223193.1754054,18743342.3773786,510000,0,1,0.279000014066696
"100","GENON ENERGY","GEN1","GENON ENERGY INC",88992,22,221,2211,-373475554.550351,-372362924.674429,-380004252.522377,20000,0,1,0
"101","GREAT PLAINS ENERGY","GXP","GREAT PLAINS ENERGY INC",24432,22,221,2211,-43529599.7495827,-42959678.8629984,-45276568.126912,485000,0,1,0
"102","HALLIBURTON","HAL","HALLIBURTON CO",23819,21,213,2131,344458519.243222,356219299.929907,281071981.737495,575000,0,0.407177835702896,0.897000014781952
"103","HEWLETT PACKARD","HPE","HEWLETT PACKARD ENTERPRISE CO",27828,33,334,3341,1428663432.02531,1411230844.91825,1193961270.19689,8165720,0,0.357036262750626,0.0799999982118607
"104","HONDA MOTOR","HMC","HONDA MOTOR CO LTD",59555,33,336,3361,180394874.104095,180510481.928363,176433638.947401,1155755,0,NA,0.100000001490116
"105","HONEYWELL INT","HON","HONEYWELL INTERNATIONAL INC",10145,33,336,3364,-5133323.22457604,-20457307.8308076,-93816045.346775,8500000,0,0.595172762870789,0.100000001490116
"106","HORMEL FOODS","HRL","HORMEL FOODS CORP",32870,31,311,3116,179244129.9299,182492919.796866,179966338.717794,358669,0,0.950376510620117,0.221000000834465
"107","HUDSON TECH","HDSN","HUDSON TECHNOLOGIES INC",81084,56,561,5614,2561805.47944363,2596097.70019976,2615458.75167009,40000,0,1,0.0140000004321337
"108","IDACORP","IDA","IDACORP INC",21928,22,221,2211,-14896908.6093712,-14361989.2236269,-16226561.3803534,120000,0,NA,0
"109","IHS","IHS","IHS HOLDING LTD",90992,54,541,5419,-165722682.773456,-165000018.555601,-169721810.296605,360000,0,NA,0.0109999999403954
"110","IMPERIAL SUGAR","IHK","IMPERIAL SUGAR CO",89715,31,311,3113,-40717564.9791523,-40756558.4473163,-41361341.2842853,190000,0,1,0.221000000834465
"111","INGERSOLL RAND","IR","INGERSOLL RAND INC",12431,33,333,3334,-110563153.780786,-115769340.188188,-140690607.069544,670000,0,0.620585680007935,0.122000001370907
